6710023ADFS          5018AR 51312006
6710011ADVA          5020AR 50512006
       ALLE         -9999AR-99992006
6710010AMER          5021AR 51192006
6710510ARME          5022AR 50552006
6710350ARSH          5023AR 51192006
6710028ARSU          5112AR 51192006
6710120ASHL          5024AR 50032006
6710335BAPT          5025AR 51192006
6710345BARH          5002AR 51192006
6710012BARK          5004AR 50192006
6710047BATE          5005AR 50072006
6710482BAXT          5013AR 50052006
6710198BFOR          5014AR 51232006
6710055BLYT          5015AR 50932006
6710497BNLR          5016AR 51192006
6710070BOON          5017AR 50832006
6710505BOSC          5031AR 50932006
6710620BRAD          5033AR 50112006
6710490BRDG          5034AR 51192006
6710002CARH          5035AR 51192006
6719016CARR          5036AR 50152006
6710331CHIC          5103AR 50172006
6710340CHLD          5108AR 51192006
6710165CHNW          5038AR 51432006
671011ACLEB          5040AR 50232006
6710110CONW          5041AR 50452006
6710618CRAW          5026AR 50332006
6710630CRIT          5027AR 50352006
6710640CROS          5028AR 50372006
6710031CRRH          5115AR 50452006
6710134DARD          5030AR 51492006
6710160DELT          5042AR 50412006
6710140DEQU          5048AR 51332006
6710196DLCO          5049AR 50392006
6710470DREW          5050AR 50432006
6710157DWTT          5051AR 50012006
6719135EDFR          5052AR 50472006
6710025EDHV          5054AR 51312006
6710465EDLO          5055AR 50832006
6710625EDSC          5094AR 51272006
6710175EUKA          5056AR 50152006
6710230FSRH          5057AR 51312006
6710547FULT          5058AR 50492006
6710330GRLF          5060AR 50312006
6710493HARR          5061AR 50672006
6710009HART          5062AR 51192006
6710240HELE          5069AR 51072006
6710020HOPE          5073AR 50912006
6710455HOTS          5043AR 50592006
6710022HSRH          5113AR 50512006
6710019HSSH          5045AR 50512006
6710485HWRD          5046AR 50572006
6710520JEFF          5047AR 50692006
6710100JOHN          5074AR 50712006
6710617LAWR          5075AR 50752006
6710280LEVI          5076AR 50512006
       LHLR         -9999AR-99992006
6710014LRIV          5077AR 50812006
6710450MAGN          5078AR 50272006
6710448MCGE          5079AR 50412006
6710016MEBE          5084AR 51192006
6710460MENA          5085AR 51132006
6710325METH          5086AR 50312006
6710451MPRK          5063AR 50572006
6710535MYRO          5064AR 50072006
6710227NAMC          5065AR 50092006
6710001NERH          5066AR 50312006
6710575NWMC          5068AR 51432006
6710007NWRH          5087AR 51432006
6710083OUAC          5088AR 51032006
6710290PARK          5089AR 50512006
6710515PIGG          5090AR 50212006
6719130PIKE          5091AR 51092006
6710004PNPT          5092AR 51192006
6710525RAND          5093AR 51212006
6710314REBS          5070AR 51192006
6710026REGE          5071AR 51432006
6710027REGS          5114AR 51432006
6710050RIVD          5096AR 51252006
6710077ROCK          5097AR 50652006
6710045SALI          5098AR 51252006
6710018SCLR          5099AR 51192006
6710021SCPB          5053AR 50692006
       SERH         -9999AR-99992006
6710566SILO          5100AR 50072006
6710220SPAR          5101AR 51312006
6710017SSFS          5102AR 51312006
6710480STAN          5008AR 51412006
6710320STBE          5104AR 50312006
6710210STED          5039AR 51312006
6710300STJO          5032AR 50512006
6710545STMY          5080AR 51152006
6710484STON          5081AR 51372006
6710585STUT          5082AR 50012006
6710400STVI          5083AR 51192006
6710015STVM          5003AR 51192006
6710024SURG          5105AR 50312006
6710830SWLR          5106AR 51192006
6710440UAMS          5107AR 51192006
