6710023ADFS              5018AR 51312009
6710530ADOC              5117AR 50692009
6710034ADSR              5118AR 51452009
6710011ADVA              5020AR 50512009
6710033ALLE              5119AR 51192009
6710010AMER              5021AR 51192009
6710510ARME              5022AR 50552009
6710350ARSH              5023AR 51192009
6710028ARSU              5112AR 51192009
6710120ASHL              5024AR 50032009
6710335BAPT              5025AR 51192009
6710345BARH              5002AR 51192009
6710012BARK              5004AR 50192009
6710047BATE              5005AR 50072009
6710482BAXT              5013AR 50052009
6710198BFOR              5014AR 51232009
       BLTC             -9999AR-99992009
6710055BLYT              5015AR 50932009
6710497BNLR              5016AR 51192009
6710070BOON              5017AR 50832009
6710505BOSC              5031AR 50932009
6710620BRAD              5033AR 50112009
6710490BRDG              5034AR 51192009
6710002CARH              5035AR 51192009
6719016CARR              5036AR 50152009
6710331CHIC              5103AR 50172009
6710340CHLD              5108AR 51192009
6710165CHNW              5038AR 51432009
671011ACLEB              5040AR 50232009
6710110CONW              5041AR 50452009
6710618CRAW              5026AR 50332009
6710630CRIT              5027AR 50352009
6710640CROS              5028AR 50372009
6710031CRRH              5115AR 50452009
6710134DARD              5030AR 51492009
6710160DELT              5042AR 50412009
6710140DEQU              5048AR 51332009
6710196DLCO              5049AR 50392009
6710470DREW              5050AR 50432009
6710157DWTT              5051AR 50012009
6719135EDFR              5052AR 50472009
6710025EDHV              5054AR 51312009
6710465EDLO              5055AR 50832009
6710625EDSC              5094AR 51272009
6710175EUKA              5056AR 50152009
6710230FSRH              5057AR 51312009
6710547FULT              5058AR 50492009
6710493HARR              5061AR 50672009
6710009HART              5062AR 51192009
6710240HELE              5069AR 51072009
6710455HOTS              5043AR 50592009
6710022HSRH              5113AR 50512009
6710019HSSH              5045AR 50512009
6710485HWRD              5046AR 50612009
6710520JEFF              5047AR 50692009
6710100JOHN              5074AR 50712009
6710617LAWR              5075AR 50752009
6710280LEVI              5076AR 50512009
6710014LRIV              5077AR 50812009
6710450MAGN              5078AR 50272009
6710448MCGE              5079AR 50412009
6710016MEBE              5084AR 51192009
6710460MENA              5085AR 51132009
6710325METH              5086AR 50312009
6710451MPRK              5063AR 50572009
6710535MYRO              5064AR 50072009
6710227NAMC              5065AR 50092009
6710001NERH              5066AR 50312009
6710575NWMC              5068AR 51432009
6710007NWRH              5087AR 51432009
6710083OUAC              5088AR 51032009
6710161OZAR              5120AR 50072009
6710290PARK              5089AR 50512009
       PHYS             -9999AR-99992009
6710515PIGG              5090AR 50212009
6719130PIKE              5091AR 51092009
6710004PNPT              5092AR 51192009
6710525RAND              5093AR 51212009
6710314REBS              5070AR 51192009
6710026REGE              5071AR 51432009
6710027REGS              5114AR 51432009
6710050RIVD              5096AR 51252009
6710077ROCK              5097AR 50652009
6710045SALI              5098AR 51252009
       SERH             -9999AR-99992009
6710566SILO              5100AR 50072009
6710220SPAR              5101AR 51312009
6710017SSFS              5102AR 51312009
6710480STAN              5008AR 50292009
6710320STBE              5104AR 50312009
6710210STED              5039AR 51312009
6710300STJO              5032AR 50512009
6710545STMY              5080AR 51152009
6710484STON              5081AR 51372009
6710585STUT              5082AR 50012009
6710400STVI              5083AR 51192009
6710015STVM              5003AR 51192009
6710440UAMS              5107AR 51192009
6710108VANB              5110AR 51412009
       VHTX             -9999AR-99992009
