NOTICE: Use of HCUP data constitutes acceptance of the
terms and conditions of the HCUP Data Use Agreement.
6710023ADFS              5018AR 51312011
6710530ADOC              5117AR 50692011
6710034ADSR              5118AR 51452011
6710011ADVA              5020AR 50512011
6710033ALLE              5119AR 51192011
6710010AMER              5021AR 51192011
6710510ARME              5022AR 50552011
6710350ARSH              5023AR 51192011
6710028ARSU              5112AR 51192011
6710120ASHL              5024AR 50032011
6710335BAPT              5025AR 51192011
6710345BARH              5002AR 51192011
6710012BARK              5004AR 50192011
6710008BATE              5124AR 50432011
6710482BAXT              5013AR 50052011
6710198BFOR              5014AR 51232011
6710159BLTC              5122AR 51192011
6710055BLYT              5015AR 50932011
6710497BNLR              5016AR 51192011
6710070BOON              5017AR 50832011
6710505BOSC              5031AR 50932011
6710620BRAD              5033AR 50112011
6710490BRDG              5034AR 51192011
6710002CARH              5035AR 51192011
6719016CARR              5036AR 50152011
6710331CHIC              5103AR 50172011
6710340CHLD              5108AR 51192011
6710165CHNW              5038AR 51432011
671011ACLEB              5040AR 50232011
6710110CONW              5041AR 50452011
6710618CRAW              5026AR 50332011
6710630CRIT              5027AR 50352011
6710640CROS              5028AR 50372011
6710031CRRH              5115AR 50452011
6710134DARD              5030AR 51492011
6710160DELT              5042AR 50412011
6710140DEQU              5048AR 51332011
6710196DLCO              5049AR 50392011
6710470DREW              5050AR 50432011
6710157DWTT              5051AR 50012011
6719135EDFR              5052AR 50472011
6710025EDHV              5054AR 51312011
6710465EDLO              5055AR 50832011
6710625EDSC              5094AR 51272011
6710175EUKA              5056AR 50152011
6710230FSRH              5057AR 51312011
6710547FULT              5058AR 50492011
6710493HARR              5061AR 50672011
6710009HART              5062AR 51192011
6710240HELE              5069AR 51072011
6710455HOTS              5043AR 50592011
6710022HSRH              5113AR 50512011
6710300HSSH              5032AR 50512011
6710485HWRD              5046AR 50612011
6710520JEFF              5047AR 50692011
6710100JOHN              5074AR 50712011
6710617LAWR              5075AR 50752011
6710280LEVI              5076AR 50512011
6710014LRIV              5077AR 50812011
6710450MAGN              5078AR 50272011
6710448MCGE              5079AR 50412011
6710016MEBE              5084AR 51192011
6710460MENA              5085AR 51132011
6710325METH              5086AR 50312011
6710451MPRK              5063AR 50572011
6710535MYRO              5064AR 50072011
6710227NAMC              5065AR 50092011
6710001NERH              5066AR 50312011
6710008NWMC              5124AR 50432011
6710007NWRH              5087AR 51432011
6710083OUAC              5088AR 51032011
6710161OZAR              5120AR 50072011
6710290PARK              5089AR 50512011
6710239PHYS              5125AR 51432011
6710515PIGG              5090AR 50212011
6710004PNPT              5092AR 51192011
6710525RAND              5093AR 51212011
6710314REBS              5070AR 51192011
6710026REGE              5071AR 51432011
6710026REGS              5071AR 51432011
6710050RIVD              5096AR 51252011
6710077ROCK              5097AR 50652011
6710045SALI              5098AR 51252011
       SERH             -9999AR-99992011
6710566SILO              5100AR 50072011
6710220SPAR              5101AR 51312011
6710017SSFS              5102AR 51312011
6710480STAN              5008AR 50292011
6710320STBE              5104AR 50312011
6710210STED              5039AR 51312011
6710300STJO              5032AR 50512011
6710545STMY              5080AR 51152011
6710484STON              5081AR 51372011
6710585STUT              5082AR 50012011
6710400STVI              5083AR 51192011
6710015STVM              5003AR 51192011
6710162SWBH              5121AR 51432011
6710440UAMS              5107AR 51192011
