NOTICE: Use of HCUP data constitutes acceptance of the
terms and conditions of the HCUP Data Use Agreement.
6710023ADFS              5018AR2012 5131
6710530ADOC              5117AR2012-9999
6710034ADSR              5118AR2012 5145
6710011ADVA              5020AR2012 5051
6710033ALLE              5119AR2012 5119
6710010AMER              5021AR2012 5119
6710510ARME              5022AR2012 5055
6710350ARSH              5023AR2012 5119
6710028ARSU              5112AR2012 5119
6710120ASHL              5024AR2012 5003
6710335BAPT              5025AR2012 5119
6710345BARH              5002AR2012 5119
6710012BARK              5004AR2012 5019
6710008BATE              5124AR2012 5143
6710482BAXT              5013AR2012 5005
6710198BFOR              5014AR2012 5123
6710159BLTC              5122AR2012 5119
6710055BLYT              5015AR2012 5093
6710497BNLR              5016AR2012 5119
6710070BOON              5017AR2012 5083
6710505BOSC              5031AR2012 5093
6710620BRAD              5033AR2012 5011
6710490BRDG              5034AR2012 5119
6710002CARH              5035AR2012 5119
6719016CARR              5036AR2012 5015
6710331CHIC              5103AR2012 5017
6710340CHLD              5108AR2012 5119
6710165CHNW              5038AR2012 5143
671011ACLEB              5040AR2012 5023
6710110CONW              5041AR2012 5045
6710618CRAW              5026AR2012 5033
6710630CRIT              5027AR2012 5035
6710640CROS              5028AR2012 5037
6710031CRRH              5115AR2012 5045
6710134DARD              5030AR2012 5149
6710160DELT              5042AR2012 5041
6710140DEQU              5048AR2012 5133
6710196DLCO              5049AR2012 5039
6710470DREW              5050AR2012 5043
6710157DWTT              5051AR2012 5001
6719135EDFR              5052AR2012 5047
6710025EDHV              5054AR2012 5131
6710465EDLO              5055AR2012 5083
6710625EDSC              5094AR2012 5127
6710175EUKA              5056AR2012 5015
6710230FSRH              5057AR2012 5131
6710547FULT              5058AR2012 5049
6710493HARR              5061AR2012 5067
6710009HART              5062AR2012 5119
6710240HELE              5069AR2012 5107
6710455HOTS              5043AR2012 5059
6710485HWRD              5046AR2012 5061
6710520JEFF              5047AR2012 5069
6710100JOHN              5074AR2012 5071
6710617LAWR              5075AR2012 5075
6710280LEVI              5076AR2012 5051
6710014LRIV              5077AR2012 5081
6710450MAGN              5078AR2012 5027
6710448MCGE              5079AR2012 5041
6710016MEBE              5084AR2012 5119
6710460MENA              5085AR2012 5113
6710325METH              5086AR2012 5031
6710451MPRK              5063AR2012 5057
6710535MYRO              5064AR2012 5007
6710227NAMC              5065AR2012 5009
6710001NERH              5066AR2012 5031
6710008NWMC              5124AR2012 5143
6710007NWRH              5087AR2012 5143
6710083OUAC              5088AR2012 5103
6710161OZAR              5120AR2012 5007
6710290PARK              5089AR2012 5051
6710239PHYS              5125AR2012 5143
6710515PIGG              5090AR2012 5021
6710004PNPT              5092AR2012 5119
6710525RAND              5093AR2012 5121
6710314REBS              5070AR2012 5119
6710026REGE              5071AR2012 5143
6710026REGS              5071AR2012 5143
6710050RIVD              5096AR2012 5125
6710077ROCK              5097AR2012 5065
6710045SALI              5098AR2012 5125
6710036SERH              5126AR2012 5017
6710566SILO              5100AR2012 5007
6710220SPAR              5101AR2012 5131
6710017SSFS              5102AR2012 5131
6710480STAN              5008AR2012 5029
6710320STBE              5104AR2012 5031
6710210STED              5039AR2012 5131
6710300STJO              5032AR2012 5051
6710545STMY              5080AR2012 5115
6710484STON              5081AR2012 5137
6710585STUT              5082AR2012 5001
6710400STVI              5083AR2012 5119
6710015STVM              5003AR2012 5119
6710162SWBH              5121AR2012 5143
6710440UAMS              5107AR2012 5119
6710108VANB              5110AR2012 5141
6710241VHTX              5123AR2012 5091
